
ORIGIN,Description,Sum(PASSENGERS)
"HNH","Hoonah, AK: Hoonah Airport",4178
"HNL","Honolulu, HI: Daniel K Inouye International",4384942
"HNM","Hana, HI: Hana Airport",1462
"HNS","Haines, AK: Haines Airport",4480
"HOB","Hobbs, NM: Lea County Regional",9182
"HOM","Homer, AK: Homer Airport",26469
"HOT","Hot Springs, AR: Memorial Field",945
"HOU","Houston, TX: William P Hobby",3601511
"HPB","Hooper Bay, AK: Hooper Bay Airport",2929
"HPN","White Plains, NY: Westchester County",434435
"HQM","Hoquiam, WA: Bowerman",2
"HRL","Harlingen/San Benito, TX: Valley International",166163
"HRO","Harrison, AR: Boone County",2239
"HSH","Las Vegas, NV: Henderson Executive",17
"HSL","Huslia, AK: Huslia Airport",1616
"HSV","Huntsville, AL: Huntsville International-Carl T Jones Field",298128
"HTO","East Hampton, NY: East Hampton Airport",60
"HTS","Ashland, WV: Tri-State/Milton J. Ferguson Field",63274
"HUS","Hughes, AK: Hughes Airport",685
"HVN","New Haven, CT: Tweed New Haven",15463
"HVR","Havre, MT: Havre City-County",1447
"HYA","Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",11062
"HYG","Hydaburg, AK: Hydaburg Seaplane Base",12
"HYL","Hollis, AK: Hollis Seaplane Base",764
"HYS","Hays, KS: Hays Regional",5508
"IAB","Wichita, KS: McConnell AFB",0
"IAD","Washington, DC: Washington Dulles International",4125307
"IAG","Niagara Falls, NY: Niagara Falls International",99325
"IAH","Houston, TX: George Bush Intercontinental/Houston",8684351
"IAN","Kiana, AK: Bob Baker Memorial",1932
"ICT","Wichita, KS: Wichita Dwight D Eisenhower National",456794
"IDA","Idaho Falls, ID: Idaho Falls Regional",83073
"IFP","Bullhead City, AZ: Laughlin/Bullhead International",70163
"IGG","Igiugig, AK: Igiugig Airport",115
"IGM","Kingman, AZ: Kingman Airport",2
"IKK","Kankakee, IL: Greater Kankakee",10
"IKO","Nikolski, AK: Nikolski AS",75
"ILG","Wilmington, DE: New Castle",57
"ILI","Iliamna, AK: Iliamna Airport",2577
"ILM","Wilmington, NC: Wilmington International",239623
"ILN","Wilmington, OH: Wilmington Air Park",0
"IMT","Iron Mountain/Kingsfd, MI: Ford",9388
"IND","Indianapolis, IN: Indianapolis International",2496015
"INL","International Falls, MN: Falls International Einarson Field",8817
"INS","Indian Springs, NV: Creech AFB",114
"INT","Winston-Salem, NC: Smith Reynolds",335
"IOW","Iowa City, IA: Iowa City Municipal",3
"IPL","El Centro, CA: Imperial County",3680
"IPT","Williamsport, PA: Williamsport Regional",10139
"IRC","Circle, AK: Circle City",156
"IRK","Kirksville, MO: Kirksville Regional",2763
"ISM","Orlando, FL: Kissimmee Gateway",10
"ISN","Williston, ND: Sloulin Field International",39283
"ISO","Kinston, NC: Kinston Regional Jetport at Stallings Field",0
"ISP","Islip, NY: Long Island MacArthur",323256
"ITH","Ithaca/Cortland, NY: Ithaca Tompkins Regional",53733
"ITO","Hilo, HI: Hilo International",387336
"IWD","Ironwood, MI: Gogebic-Iron County",3067
"IYK","Inyokern, CA: Inyokern Airport",0
"JAC","Jackson, WY: Jackson Hole",202989
"JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",268875
"JAX","Jacksonville, FL: Jacksonville International",1582614
"JBR","Jonesboro, AR: Jonesboro Municipal",2748
"JFK","New York, NY: John F. Kennedy International",7888392
"JHM","Kapalua, HI: Kapalua Airport",19116
"JHW","Jamestown, NY: Chautauqua County/Jamestown",556
"JLA","Cooper Lodge, AK: Quartz Creek",5
"JLN","Joplin, MO: Joplin Regional",20124
"JMS","Jamestown, ND: Jamestown Regional",5949
"JNU","Juneau, AK: Juneau International",204214
"JRV","Ceiba, PR: Jose Aponte de la Torre",28130
"JST","Johnstown, PA: John Murtha Johnstown-Cambria County",1755
"JZE","Trading Bay, AK: Trading Bay Production",4
"JZI","Portland, TN: Portland Municipal",16
"JZQ","Brooksville, FL: Brooksville Tampa Bay Regional",8
"JZT","Arlington, TX: Arlington Municipal",0
"KAE","Kake, AK: Kake Seaplane Base",1955
"KAL","Kaltag, AK: Kaltag Airport",1014
"KBC","Birch Creek, AK: Birch Creek Airport",170
"KCC","Coffman Cove, AK: Coffman Cove Seaplane Base",88
"KCG","Chignik Bay, AK: Chignik Bay Airport",94
"KCL","Chignik Lagoon, AK: Chignik Lagoon Airport",62
"KCQ","Chignik, AK: Chignik Lake",133
"KEB","Nanwalek, AK: Nanwalek Airport",1152
"KEH","Kenmore, WA: Kenmore Air Harbor",1869
"KEK","Ekwok, AK: Ekwok Airport",242
"KFP","False Pass, AK: False Pass Airport",169
"KGK","Koliganek, AK: Koliganek Airport",399
"KGX","Grayling, AK: Grayling Airport",500
"KKA","Koyuk, AK: Koyuk Alfred Adams",1344
"KKB","Kitoi Bay, AK: Kitoi Bay Airport",22
"KKH","Kongiganak, AK: Kongiganak Airport",2209
