AIRPORT_ID,Code,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10281,AMF,Ama Airport,-4.10166667,141.6697222
10282,AMG,Amboin Airport,-4.6,143.5
10283,AMH,Arba Minch Airport,6.03611111,37.57694444
10284,AMI,Rembiga,-8.56,116.0969444
10284,AMI,Selaparang,-8.56,116.0969444
10285,AMK,Animas Air Park,37.20388889,-107.8686111
10286,AML,Puerto Armuelles Airport,8.26555556,-82.86555556
10287,AMM,Amman Airport,31.7225,35.99333333
10287,AMM,Queen Alia International,31.7225,35.99333333
10288,AMN,Gratiot Community,43.32083333,-84.68666667
10289,AMO,Mao Airport,14.14722222,15.31444444
10290,AMP,Ampanihy Airport,-24.69944444,44.73305556
10291,AMQ,Pattimura,-3.71027778,128.0897222
10292,AMS,Schiphol,52.30833333,4.76805556
10294,AMW,Ames Municipal,41.99416667,-93.61833333
10295,AMX,Ammaroo Station,-21.74,135.24
10296,AMY,Ambatomainty Airport,-17.68555556,45.62527778
10297,ANA,Anaheim-Disneyland HP,33.81666667,-117.9333333
10298,ANB,Anniston/Calhoun County,33.59027778,-85.85583333
10298,ANB,Anniston Metro,33.58805556,-85.85805556
10298,ANB,Anniston Regional,33.58805556,-85.85805556
10299,ANC,Anchorage International,61.16916667,-149.9852778
10299,ANC,Ted Stevens Anchorage International,61.17444444,-149.9961111
10300,AND,Anderson Regional,34.49361111,-82.71
10301,ANE,Avrille,47.49722222,-0.57277778
10301,ANE,Angers Marce,47.56027778,-0.31277778
10302,ANF,Cerro Moreno International,-23.43944444,-70.44277778
10302,ANF,Andres Sabella International,-23.44444444,-70.445
10303,ANG,Brie-Champniers,45.72944444,0.21972222
10303,ANG,Angouleme Airport,45.72944444,0.21833333
10303,ANG,Angouleme Brie Champniers,45.72944444,0.21833333
10304,ANI,Aniak Airport,61.58166667,-159.5430556
10305,ANK,Etimesgut,39.95166667,32.68805556
10306,ANM,Antsirabato,-15,50.32138889
10307,ANN,Annette Island,55.03694444,-131.5705556
10308,ANO,Angoche Airport,-16.17777778,39.93694444
10309,ANP,Lee,38.94277778,-76.56888889
10310,ANR,Antwerp-Brussels North,51.19,4.46
10310,ANR,Deurne,51.18944444,4.46027778
10311,ANS,Andahuaylas Airport,-13.70861111,-73.35111111
10312,ANU,Antigua,17.10833333,-61.76388889
10312,ANU,V C Bird International,17.1375,-61.79
10313,ANV,Anvik Airport,62.64777778,-160.1888889
10314,ANX,Andoya,69.29305556,16.14166667
10317,AOH,Lima Allen County,40.70833333,-84.02666667
10318,AOI,Ancona/Falconara,43.6175,13.36416667
10318,AOI,Falconara,43.61638889,13.36222222
10318,AOI,Ancona Falconara,43.61638889,13.36222222
10319,AOJ,Aomori Airport,40.73472222,140.6897222
10320,AOK,Karpathos Airport,35.42388889,27.14722222
10321,AOL,Paso de Los Libres Airport,-29.69,-57.14861111
10322,AOO,Altoona-Blair County,40.29722222,-78.32
10323,AOR,Sultan Abdul Halim,6.19111111,100.4038889
10324,AOS,Amook Bay Airport,57.45472222,-153.8130556
10325,APA,Arapahoe County,39.57277778,-104.8477778
10325,APA,Centennial,39.57277778,-104.8477778
10326,APB,Apolo Airport,-14.73666667,-68.41305556
10327,APC,Napa County,38.21222222,-122.28
10328,APE,San Juan Aposento Airport,-15.35,-75.16666667
10329,APF,Naples Municipal,26.15277778,-81.77527778
10330,APG,Phillips AAF,39.46611111,-76.16972222
10331,APK,Apataki Airport,-15.56666667,-146.4166667
10332,APL,Nampula Airport,-15.10166667,39.28722222
10333,APN,Phelps/Collins,45.08166667,-83.55583333
10333,APN,Alpena County Regional,45.07805556,-83.56027778
10334,APO,Apartado Airport,7.03333333,-77.2
10335,APR,April River Airport,-4.67361111,142.5377778
10336,APT,Marion County Brown Field,35.06055556,-85.58527778
10337,APV,Calf Apple Valley,34.52638889,-117.2127778
10337,APV,Apple Valley Airport,34.52638889,-117.2127778
10338,APW,Faleolo,-13.83333333,-172
10338,APW,Faleolo International,-13.82833333,-172.0119444
10339,AQI,Qaisumah Airport,28.33527778,46.125
10339,AQI,Hafr Al Batin,28.33527778,46.125
10339,AQI,Al Qaisumah,28.33527778,46.125
10340,AQJ,King Hussein International,29.6125,35.01944444
10340,AQJ,Aqaba King Hussein International,29.61111111,35.01777778
10342,AQP,Rodriguez Ballon International,-16.33777778,-71.555
10343,AQS,Saqani Airport,-16.75,179.35
10344,AQY,Girdwood Airport,60.96666667,-149.1236111
10345,AR1,Russellville Regional,35.26472222,-93.09388889
10346,AR2,Dennis F Cantrell Field,35.08083333,-92.425
10347,ARA,Acadiana Reg,30.03777778,-91.88388889
10347,ARA,Acadiana Regional,30.0375,-91.88388889
10348,ARB,Ann Arbor Municipal,42.22277778,-83.74444444
10349,ARC,Wien Arctic Village,68.1375,-145.5244444
10349,ARC,Arctic Village Airport,68.11472222,-145.5794444
10350,ARD,Arcadia Municipal,-8.25,124.75
10351,ARE,Arecibo Airport,18.45,-66.67583333
10351,ARE,Antonio/Nery/Juarbe Pol,18.45027778,-66.67583333
10352,ARG,Walnut Ridge Regional,36.125,-90.92638889
10353,ARH,Arkhangelsk Airport,64.56666667,40.53333333
10353,ARH,Talagi,64.56666667,40.53333333
10354,ARI,Chacalluta,-18.33305556,-70.33805556
10355,ARK,Arusha Airport,-3.36416667,36.62472222
10356,ARM,Armidale Airport,-30.52833333,151.6233333
10357,ARN,Arlanda,59.66194444,17.93388889
10358,ARP,Aragip Airport,-9.87055556,149.4836111
10359,ARQ,Troncal,7.02111111,-71.38888889
10359,ARQ,Arauquita Airport,7.02111111,-71.38888889
10360,ARS,Aragarcas Airport,-15.9,-52.23333333
10361,ART,Watertown International,43.99083333,-76.02138889
10362,ARU,Aracatuba Airport,-21.14361111,-50.42611111
10363,ARV,Lakeland/Noble F. Lee Memorial Field,45.92805556,-89.73083333
10364,ARW,Arad Airport,46.18333333,21.26666667
10364,ARW,Arad International,46.17666667,21.26194444
10365,ARX,Asbury Park/Monmouth County,40.18333333,-74.11666667
